TAX_MAP,plat,lot,unit,CLASS,SHORT_DESC,FORMATED_ADDRESS,ZIP_POSTAL
045-0917-8LAW,45,917,8LAW,12,Miscellaneous,399 Public St,02905
000-0001-0003,0,1,3,78,Municipal,City Water Pipes,02904
006-0593-0000,6,593,0,71,Charitable,215 Camp St,02906
014-0576-0000,14,576,0,71,Charitable,256 Power St,02906
025-0186-0000,25,186,0,71,Charitable,60 Adrian Hall Way,02901
041-0234-0000,41,234,0,78,Municipal,82 Loring Ave,02906
043-0610-0000,43,610,0,72,Church,83 Benedict St,02907
045-0040-0000,45,40,0,75,Hospital,212 Dudley St,02905
045-0723-0000,45,723,0,78,Municipal,32 Mt Vernon,02905
048-0706-0000,48,706,0,78,Municipal,179 Potters Ave,02905
068-0079-0000,68,79,0,79,School,189 Douglas Ave,02908
078-0045-0000,78,45,0,70,Cemetary,0 Veazie St,02908
096-0322-0000,96,322,0,78,Municipal,16 Henry St,02909
105-0417-0000,105,417,0,78,Municipal,30 Kelley,02909
014-0416-0000,14,416,0,3,Apartment Building,196 Wayland Ave,02906
016-0483-0000,16,483,0,4,Combination,276 Wickenden St,02906
017-0024-0000,17,24,0,7,Industrial,667 Wickenden St,02906
020-0107-008A,20,107,008A,24,Commercial Condo,50 Pine St,NA
021-0425-0000,21,425,0,7,Industrial,96 Elm St,02905
028-1045-0000,28,1045,0,14,CI Vacant Land,18 America St,02909
031-0069-0000,31,69,0,6,Commercial II,248 Dexter St,02907
039-0462-0000,39,462,0,4,Combination,420 Angell St,02906
047-0663-0000,47,663,0,14,CI Vacant Land,182 Bay St,02905
053-0472-0000,53,472,0,6,Commercial II,986 Broad St,NA
059-0030-0000,59,30,0,4,Combination,1407 Broad St,02905
062-0546-0000,62,546,0,7,Industrial,46 Aleppo St,02909
065-0112-0000,65,112,0,14,CI Vacant Land,23 Bluff St,02909
065-0618-0000,65,618,0,7,Industrial,15 Cliff St,02909
066-0188-0000,66,188,0,14,CI Vacant Land,41 River Ave,02901
078-0218-0000,78,218,0,5,Commercial I,971 Branch Ave,02904
089-0381-0000,89,381,0,14,CI Vacant Land,129 Alger Ave,02901
094-0148-0000,94,148,0,4,Combination,1366 Chalkstone,02908
103-0103-0000,103,103,0,14,CI Vacant Land,0 Woodward Rd,02904
105-0058-0000,105,58,0,7,Industrial,0 Manton Ave,02909
108-0097-0000,108,97,0,4,Combination,508 Plainfield St,02909
117-0284-0000,117,284,0,4,Combination,888 Smith St,02908
125-0179-0000,125,179,0,7,Industrial,63 Narragansett Ave,NA
013-0293-0000,13,293,0,6,Commercial II,134 Waterman St,02906
028-0657-0002,28,657,2,24,Commercial Condo,340 Broadway,02903
006-0330-0000,6,330,0,2,2 -5 Family,29 Braman St,02906
013-0189-0000,13,189,0,1,Single Family,69 Cooke St,02906
017-0557-0000,17,557,0,2,2 -5 Family,85 Ives St,02906
017-0619-0015,17,619,15,23,Residential Condo,77 Hope St,02906
018-0008-0022,18,8,22,23,Residential Condo,30 Bridge St,02906
023-0289-0000,23,289,0,2,2 -5 Family,42 Maple St,02905
025-0023-0000,25,23,0,2,2 -5 Family,148 Broadway St,02909
028-0869-0000,28,869,0,2,2 -5 Family,26 Penn St,02909
028-0891-0000,28,891,0,2,2 -5 Family,10 Tell St,02909
034-0005-0000,34,5,0,2,2 -5 Family,867 Manton Ave,02909
034-0121-0000,34,121,0,13,Residential Vacant Land,54 Perrin,02909
034-0327-0000,34,327,0,2,2 -5 Family,720 Manton Ave,02909
036-0155-0000,36,155,0,13,Residential Vacant Land,82 Wood St,02901
037-0812-0000,37,812,0,13,Residential Vacant Land,119 00000 St,NA
047-0774-0000,47,774,0,2,2 -5 Family,31 Ashmont St,02905
048-0784-0000,48,784,0,2,2 -5 Family,15 Norwich Ave,02905
049-0207-0000,49,207,0,2,2 -5 Family,140 Laura St,02907
051-0294-0000,51,294,0,1,Single Family,92 Crescent St,02905
053-0642-0000,53,642,0,2,2 -5 Family,77 Sackett St,02907
060-0072-0000,60,72,0,2,2 -5 Family,9 Thackery,02907
062-0218-0000,62,218,0,2,2 -5 Family,726 Atwells Ave,02909
065-0015-0000,65,15,0,2,2 -5 Family,727 Atwells Ave,02909
065-0177-0000,65,177,0,2,2 -5 Family,84 Harold St,02909
065-0282-0000,65,282,0,2,2 -5 Family,180 Harold St,02909
066-0146-0000,66,146,0,2,2 -5 Family,57 Robin St,02909
076-0251-0000,76,251,0,2,2 -5 Family,104 Yorkshire St,02904
077-0069-0000,77,69,0,2,2 -5 Family,23 Job St,02904
080-0610-0000,80,610,0,13,Residential Vacant Land,66 Walsh,02901
091-0503-0000,91,503,0,2,2 -5 Family,118 Eleventh St,02906
095-0033-0000,95,33,0,2,2 -5 Family,9 Sybaris St,02909
098-0203-0000,98,203,0,2,2 -5 Family,80 Monticello St,02904
108-0305-0000,108,305,0,2,2 -5 Family,138 Pocasset Ave,02909
108-0360-0000,108,360,0,13,Residential Vacant Land,199 Sterling Ave,02909
109-0435-0000,109,435,0,1,Single Family,4 Crown Ave,02909
109-0489-0000,109,489,0,2,2 -5 Family,161 Prudence Ave,02909
110-0362-0000,110,362,0,2,2 -5 Family,66 Farmington Ave,02909
113-0421-0000,113,421,0,1,Single Family,5 Mattie St,02909
114-0373-0000,114,373,0,13,Residential Vacant Land,61 Maria Ave,02909
115-0107-0000,115,107,0,13,Residential Vacant Land,38 Seton St,02909
117-0302-0000,117,302,0,2,2 -5 Family,427 River Ave,02908
119-0233-0000,119,233,0,2,2 -5 Family,504 Douglas Ave,02904
120-0227-0000,120,227,0,2,2 -5 Family,81 Radcliffe Ave,02908
080-0866-0307,80,866,307,23,Residential Condo,31 Devereux Unit 307,02909
028-0986-0004,28,986,4,23,Residential Condo,28 Ringgold St Unit 4,02909
008-0484-0000,8,484,0,2,2 -5 Family,75 Doyle Ave,02906
068-0838-00R3,68,838,00R3,23,Residential Condo,231 Douglas Ave,02908
129-0259-0000,129,259,0,1,Single Family,125 Galileo Ave,02908
006-0202-0000,6,202,0,2,2 -5 Family,594 Hope St,02906
010-0617-0000,10,617,0,1,Single Family,86 Brown St,02906
014-0077-0000,14,77,0,2,2 -5 Family,60 Pitman St,02906
017-0147-0000,17,147,0,2,2 -5 Family,87 John St,02906
017-0421-0000,17,421,0,2,2 -5 Family,98 Gano St,02906
028-1055-0000,28,1055,0,1,Single Family,24 Dale St,02909
031-0213-0000,31,213,0,2,2 -5 Family,152 Parade St,02907
033-0675-0000,33,675,0,2,2 -5 Family,90 Ring St,02909
039-0072-0000,39,72,0,1,Single Family,525 Lloyd Ave,02906
039-0446-0000,39,446,0,1,Single Family,100 Taber Ave,02906
043-0349-0000,43,349,0,1,Single Family,9 Halton St,02907
044-0085-0000,44,85,0,1,Single Family,20 Moore St,02907
044-0483-0000,44,483,0,2,2 -5 Family,196 Peace St,02907
046-0529-0000,46,529,0,2,2 -5 Family,174 Rhodes St,02905
048-0056-0000,48,56,0,2,2 -5 Family,40 Ashmont St,02905
048-0289-0000,48,289,0,2,2 -5 Family,90 Potters Ave,02905
048-0829-0000,48,829,0,2,2 -5 Family,25 Massie Ave,02905
051-0182-0000,51,182,0,1,Single Family,40 Alvin St,02905
052-0303-0000,52,303,0,2,2 -5 Family,48 Congress Ave,02907
053-0145-0000,53,145,0,2,2 -5 Family,28 Sumter St,02907
054-0029-0000,54,29,0,2,2 -5 Family,134 Briggs St,02905
061-0149-0000,61,149,0,2,2 -5 Family,80 Pontiac Ave,02905
061-0393-0000,61,393,0,1,Single Family,62 Rutherglen Ave,02905
064-0052-0000,64,52,0,1,Single Family,48 Dover St,02909
065-0770-0000,65,770,0,2,2 -5 Family,73 Wisdom Ave,NA
070-0120-0000,70,120,0,2,2 -5 Family,550 Douglas Ave,02904
070-0650-0000,70,650,0,1,Single Family,51 Alicant St,02904
072-0468-0000,72,468,0,2,2 -5 Family,59 Luna St,02904
076-0369-0000,76,369,0,2,2 -5 Family,241 Admiral St,02904
080-0106-0000,80,106,0,1,Single Family,10 Case Ln,02909
085-0150-0000,85,150,0,1,Single Family,298 Nelson St,02908
086-0273-0000,86,273,0,1,Single Family,34 Eames St,02906
088-0033-0000,88,33,0,1,Single Family,3 Alger Ave,02905
089-0179-0000,89,179,0,2,2 -5 Family,28 Thurston St,02905
091-0485-0000,91,485,0,2,2 -5 Family,9 Twelfth St,02906
091-0637-0000,91,637,0,1,Single Family,2 Chace Dr,02906
093-0175-0000,93,175,0,1,Single Family,131 Burlington St,02906
094-0116-0000,94,116,0,1,Single Family,183 Gray St,02909
095-0624-0000,95,624,0,1,Single Family,49 Leah St,02909
096-0301-0000,96,301,0,2,2 -5 Family,33 Edgemere Ave,02909
104-0098-0000,104,98,0,2,2 -5 Family,186 Webster Ave,02909
105-0244-0000,105,244,0,2,2 -5 Family,61 Judith St,02909
117-0070-0000,117,70,0,2,2 -5 Family,68 Jastram St,02908
119-0226-0000,119,226,0,1,Single Family,45 Liege St,02904
123-0239-0000,123,239,0,1,Single Family,5 Clyde St,02904
124-0122-0000,124,122,0,1,Single Family,26 Clove St,02908
124-0337-0000,124,337,0,1,Single Family,49 Royal Ave,02908
126-0241-0000,126,241,0,1,Single Family,60 Lakeview Dr,02905
077-0879-0000,77,879,0,1,Single Family,63 Job St,02904
098-0450-0000,98,450,0,2,2 -5 Family,87 Langdon St,02904
004-0109-0001,4,109,1,23,Residential Condo,73 Holden St Unit 1,02908
123-0542-0000,123,542,0,2,2 -5 Family,21 Sunbury St,02908
010-0055-0001,10,55,1,23,Residential Condo,188 Benefit St Unit 1,02906
064-0961-0000,64,961,0,2,2 -5 Family,82 Armington Ave,02909
093-0344-0000,93,344,0,1,Single Family,235 Fourth St,02906
063-0074-0000,63,74,0,2,2 -5 Family,68 Steuben St,02909
046-0283-0000,46,283,0,72,Church,239 Public St,02905
021-0443-0001,21,443,1,24,Commercial Condo,373 Richmond St Unit 1,02903
048-1137-8LAW,48,1137,8LAW,12,Miscellaneous,34 Ocean St,02905
061-0402-0000,61,402,0,2,2 -5 Family,30 Falconer,02907
077-0676-0000,77,676,0,2,2 -5 Family,98 Job St,02904
077-0247-0000,77,247,0,1,Single Family,22 Bismark St,02904
117-0421-0000,117,421,0,83,44-3-9 Stb,865 Chalkstone Ave,02908
031-0108-0000,31,108,0,1,Single Family,39 Superior St,02907
076-0164-0000,76,164,0,1,Single Family,72 Longmont St,02904
071-0274-0000,71,274,0,1,Single Family,11 Mcmillen St,02904
035-0323-0000,35,323,0,7,Industrial,45 Troy St,02909
045-0784-0000,45,784,0,14,CI Vacant Land,148 Willard Ave,02905
079-0272-0000,79,272,0,3,Apartment Building,827 Admiral St,02904
044-0247-0000,44,247,0,14,CI Vacant Land,10 Peace St,02907
066-0035-0000,66,35,0,2,2 -5 Family,163 Allston St,02909
017-0222-0000,17,222,0,2,2 -5 Family,257 Williams St,02906
040-0184-0000,40,184,0,1,Single Family,230 Laurel Ave,02906
049-0349-0000,49,349,0,1,Single Family,63 Congress Ave,02907
047-0761-0000,47,761,0,71,Charitable,873 Eddy St,02905
110-0269-0000,110,269,0,5,Commercial I,15 Farmington Ave,02909
109-0146-0000,109,146,0,78,Municipal,136 Murray St,02909
059-0004-0000,59,4,0,2,2 -5 Family,1275 Broad St,02905
003-0335-REVO,3,335,REVO,6,Commercial II,1 State St,02903
036-0296-0000,36,296,0,4,Combination,483 Cranston St,02907
017-0605-0000,17,605,0,79,School,8 Young Orchard,02906
027-0042-0000,27,42,0,79,School,68 Pleasant Valley Pkwy,02908
070-0545-0000,70,545,0,13,Residential Vacant Land,14 Glasgow St,02904
039-0620-0000,39,620,0,4,Combination,444 Angell St,02906
019-0123-0000,19,123,0,80,State,1 Finance Way,NA
044-0345-0000,44,345,0,14,CI Vacant Land,12 Dartmouth Ave,02907
010-0141-0000,10,141,0,72,Church,69 Benefit St,02903
017-0375-0000,17,375,0,2,2 -5 Family,112 Gano St,02906
087-0514-0000,87,514,0,72,Church,301 Alabama Ave,02905
076-0133-0000,76,133,0,10,Utility,182 Donelson St,02904
080-0642-0000,80,642,0,13,Residential Vacant Land,120 Fruit Hill Ave,02909
065-0520-0000,65,520,0,2,2 -5 Family,38 Alton St,02908
017-0430-0000,17,430,0,2,2 -5 Family,59 East Transit,02906
006-0590-0000,6,590,0,2,2 -5 Family,129 Evergreen St,02906
068-0732-0000,68,732,0,72,Church,24 Douglas Ave,02908
071-0025-0000,71,25,0,2,2 -5 Family,13 Greeley St,02904
051-0163-0000,51,163,0,14,CI Vacant Land,35 Reservoir Ave,02907
053-0164-0000,53,164,0,1,Single Family,17 Pennsylvania,02905
015-0010-0000,15,10,0,14,CI Vacant Land,11 Richmond Sq,02906
031-0438-0000,31,438,0,2,2 -5 Family,42 Althea St,02907
020-0097-004B,20,97,004B,24,Commercial Condo,135 Dyer St,02903
070-0070-0000,70,70,0,2,2 -5 Family,35 Grape St,02904
023-0888-0000,23,888,0,78,Municipal,176 Pearl St,02905
058-0822-0000,58,822,0,4,Combination,1356 Broad St,NA
072-0463-0000,72,463,0,13,Residential Vacant Land,73 Ashton St,02904
023-0045-0000,23,45,0,71,Charitable,21 Somerset St,02905
058-0801-0000,58,801,0,76,Library,1316 Broad St,02905
005-0316-0000,5,316,0,2,2 -5 Family,41 Woodbine St,02906
067-0147-0000,67,147,0,2,2 -5 Family,99 West Park St,02908
010-0281-0000,10,281,0,1,Single Family,61 Prospect St,02906
048-0825-0000,48,825,0,2,2 -5 Family,44 Lillian Ave,02905
078-0418-0000,78,418,0,5,Commercial I,11 Ainsworth St,02904
076-0303-0000,76,303,0,1,Single Family,18 Glasgow St,02904
069-0064-0000,69,64,0,1,Single Family,73 Oakland Ave,02908
005-0206-0000,5,206,0,2,2 -5 Family,61 Grand View St,02906
025-0323-0000,25,323,0,14,CI Vacant Land,345 Westminster St,02903
087-0288-0000,87,288,0,1,Single Family,186 California Ave,02905
101-0499-0000,101,499,0,7,Industrial,70 Ernest St,02905
051-0082-0000,51,82,0,2,2 -5 Family,113 Reservoir Ave,02905
023-0099-0000,23,99,0,3,Apartment Building,434 Pine St,02905
016-0220-0000,16,220,0,3,Apartment Building,189 Williams St,02906
035-0355-0000,35,355,0,79,School,15 Bough St,02909
087-0283-0000,87,283,0,2,2 -5 Family,204 California Ave,02905
035-0566-0000,35,566,0,6,Commercial II,671-675 Broadway St,02909
035-0470-0000,35,470,0,2,2 -5 Family,58 Barton St,02909
018-0119-0000,18,119,0,80,State,36 India St,02903
065-0669-0000,65,669,0,2,2 -5 Family,50 Rill St,02908
028-0874-0000,28,874,0,2,2 -5 Family,69 Vinton St,02909
053-0343-0000,53,343,0,2,2 -5 Family,51 Corinth St,02907
029-0531-0000,29,531,0,72,Church,11 Portland St,02907
062-0060-0000,62,60,0,2,2 -5 Family,173 Julian St,02909
079-0421-0000,79,421,0,1,Single Family,108 Lubec St,02904
035-0175-400B,35,175,400B,23,Residential Condo,5 Palm,NA
045-0507-0000,45,507,0,72,Church,74 Chester Ave,02905
067-0212-0000,67,212,0,5,Commercial I,275 West Park,02901
037-0814-0000,37,814,0,14,CI Vacant Land,175 Union Ave,NA
053-0506-0000,53,506,0,1,Single Family,39 Gallatin St,02907
008-0141-0000,8,141,0,2,2 -5 Family,76 Camp St,02906
016-0091-0000,16,91,0,3,Apartment Building,350 Benefit St,02906
021-0120-0000,21,120,0,75,Hospital,200 Chestnut St,02905
065-0341-0000,65,341,0,2,2 -5 Family,31 Geneva St,02909
082-0254-0000,82,254,0,3,Apartment Building,46 Garfield Ave,02908
028-0967-0000,28,967,0,2,2 -5 Family,100R Knight St,02909
070-0020-0000,70,20,0,13,Residential Vacant Land,19 Hawkins St,02904
035-0201-0000,35,201,0,3,Apartment Building,1582 Westminster St,02907
058-0802-0000,58,802,0,4,Combination,15 Broom St,02905
023-0265-8LAW,23,265,8LAW,12,Miscellaneous,231 Lockwood St,02905
061-0422-0000,61,422,0,13,Residential Vacant Land,108 Sinclair Ave,02905
119-0025-0000,119,25,0,5,Commercial I,396 Douglas Ave,02904
015-0101-0000,15,101,0,4,Combination,205 Wayland Ave,02906
031-0082-0000,31,82,0,4,Combination,486 Cranston St,02907
028-0055-0000,28,55,0,2,2 -5 Family,34 Battey St,02909
059-0021-0000,59,21,0,4,Combination,1363 Broad St,02905
058-0350-0000,58,350,0,2,2 -5 Family,206 Baker St,02905
073-0412-0000,73,412,0,2,2 -5 Family,51 Glendale Ave,02906
010-0530-0000,10,530,0,1,Single Family,48 Lloyd Ave,02906
043-0166-0000,43,166,0,5,Commercial I,620 Huntington Ave,02907
068-0792-0000,68,792,0,5,Commercial I,7 North Davis St,02908
079-0216-0000,79,216,0,1,Single Family,25 Crandall St,02904
068-0325-0000,68,325,0,71,Charitable,73 Lydia St,02908
063-0423-0000,63,423,0,13,Residential Vacant Land,10 Curtis St,02909
083-0129-0000,83,129,0,13,Residential Vacant Land,67 Wabun Ave,02908
018-0008-0530,18,8,530,24,Commercial Condo,20 Bridge St,NA
053-0303-0000,53,303,0,3,Apartment Building,30 Lenox Ave,02907
010-0019-0000,10,19,0,72,Church,73 Prospect St,02906
047-0198-0000,47,198,0,14,CI Vacant Land,177 Sayles St,02905
052-0336-0000,52,336,0,2,2 -5 Family,190 Lexington Ave,02907
022-0245-0000,22,245,0,75,Hospital,93 Hospital St,02905
052-0414-0000,52,414,0,13,Residential Vacant Land,166 Congress Ave,02907
075-0015-0000,75,15,0,14,CI Vacant Land,22 Powell St,NA
052-0547-0000,52,547,0,2,2 -5 Family,116 Lexington Ave,02907
029-0122-0S5A,29,122,0S5A,24,Commercial Condo,755 Westminster St 00S5,02905
087-0376-0000,87,376,0,2,2 -5 Family,295 Washington Ave,02905
043-0177-0000,43,177,0,13,Residential Vacant Land,14 Seabury St,02907
045-0877-8LAW,45,877,8LAW,12,Miscellaneous,25-27 Comstock Ave,02905
030-0646-0000,30,646,0,6,Commercial II,141 Dodge St,02901
008-0403-0000,8,403,0,2,2 -5 Family,228 Doyle Ave,02906
018-0193-0000,18,193,0,2,2 -5 Family,275 Wickenden St,02906
075-0203-0000,75,203,0,72,Church,1228 North Main,02904
048-0074-0000,48,74,0,2,2 -5 Family,49 Ashmont St,02905
028-0552-0000,28,552,0,5,Commercial I,279 Atwells Ave,02909
005-0070-8LAW,5,70,8LAW,12,Miscellaneous,41 Abbott St,02906
048-0574-0000,48,574,0,2,2 -5 Family,78 Harriet St,02905
065-0320-0000,65,320,0,6,Commercial II,998 Chalkstone Ave,02909
048-0107-0000,48,107,0,1,Single Family,143 Oxford St,02905
058-0650-0000,58,650,0,7,Industrial,240 Georgia Ave,02905
087-0379-0000,87,379,0,13,Residential Vacant Land,279 Washington Ave,02901
043-0180-0000,43,180,0,13,Residential Vacant Land,13 Seabury St,02907
096-0053-0000,96,53,0,72,Church,540 Manton Ave,02909
045-0844-0000,45,844,0,13,Residential Vacant Land,9 Harvard Ave,02905
060-0081-0000,60,81,0,2,2 -5 Family,13 Longfellow Tr,02907
033-0419-0000,33,419,0,78,Municipal,440 Harris Ave,02909
012-0389-0000,12,389,0,79,School,62 Benevolent St,02906
023-0295-0000,23,295,0,1,Single Family,100 West Clifford,02907
026-0188-0000,26,188,0,2,2 -5 Family,9 Mountain St,02909
035-0186-0000,35,186,0,2,2 -5 Family,3 Theresa Ct,02907
012-0272-0000,12,272,0,79,School,197 Thayer St,02906
048-0969-0000,48,969,0,79,School,100 Gordon Ave,02905
048-1105-0000,48,1105,0,78,Municipal,66 Burnside St,02905
105-0323-0000,105,323,0,6,Commercial II,22 Olneyville Sq,02909
025-0332-0005,25,332,5,24,Commercial Condo,327 Westminster St,02903
112-0403-0000,112,403,0,78,Municipal,518 Hartford Ave,02909
018-0010-0000,18,10,0,10,Utility,21 Bridge St,02906
081-0429-0000,81,429,0,1,Single Family,290 Eaton St,02908
023-0106-0000,23,106,0,6,Commercial II,418 Pine St,02905
059-0430-0000,59,430,0,1,Single Family,125 Carr St,02905
016-0344-0005,16,344,5,23,Residential Condo,395 Benefit St,02906
086-0277-0000,86,277,0,2,2 -5 Family,29 Sessions St,02906
068-0078-0000,68,78,0,2,2 -5 Family,51 Candace St,02908
012-0486-0000,12,486,0,79,School,55 Canal Walk,02903
014-0409-0000,14,409,0,2,2 -5 Family,23 East George,02906
063-0483-0000,63,483,0,2,2 -5 Family,17 Greenwood St,02909
054-0565-0000,54,565,0,13,Residential Vacant Land,143 Pavilion Ave,02905
016-0616-0000,16,616,0,14,CI Vacant Land,326 South Water,02903
046-0394-0000,46,394,0,14,CI Vacant Land,17 Potters Ave,02905
023-0630-0000,23,630,0,14,CI Vacant Land,26 Frank St,02905
072-0291-0000,72,291,0,2,2 -5 Family,224 Silver Spring St,02904
016-0626-0000,16,626,0,2,2 -5 Family,52 John St,02906
069-0511-0000,69,511,0,1,Single Family,66 Candace St,02908
030-0586-0000,30,586,0,13,Residential Vacant Land,42 Arch St,02907
049-0493-0000,49,493,0,72,Church,302 Bucklin St,02907
028-0942-0000,28,942,0,2,2 -5 Family,57 Vernon St,02909
004-0263-0000,4,263,0,83,44-3-9 Stb,25 Park Row West,02903
049-0456-0000,49,456,0,71,Charitable,76 Mawney St,02907
006-0319-0000,6,319,0,2,2 -5 Family,76 Locust St,02906
107-0501-0000,107,501,0,79,School,380 Hartford Ave,NA
045-0726-0000,45,726,0,71,Charitable,23 Glenham St,02905
028-0517-0000,28,517,0,6,Commercial II,331 Broadway St,02909
047-0740-0000,47,740,0,2,2 -5 Family,394 Cahill St,02905
043-0454-0000,43,454,0,5,Commercial I,639 Potters Ave,02907
084-0039-0000,84,39,0,1,Single Family,260 River Ave,02908
046-0063-0000,46,63,0,75,Hospital,232 Plain St,02905
022-0129-0000,22,129,0,80,State,33 Manchester Pl,02905
105-0001-0000,105,1,0,7,Industrial,141 Hartford Ave,NA
059-0181-0000,59,181,0,2,2 -5 Family,78 Farragut Ave,02905
028-0924-0000,28,924,0,14,CI Vacant Land,17 Messenger St,02909
044-0552-0000,44,552,0,79,School,160 Bucklin St,NA
031-0297-0000,31,297,0,6,Commercial II,327 Dexter St,02907
115-0239-0000,115,239,0,14,CI Vacant Land,640 Hartford Ave,02909
048-0600-0000,48,600,0,13,Residential Vacant Land,69 Harriet St,02905
070-0335-0000,70,335,0,2,2 -5 Family,100 Clym St,02908
018-0282-0000,18,282,0,2,2 -5 Family,373 Wickenden St,02903
108-0283-0000,108,283,0,14,CI Vacant Land,71 Pocasset Ave,02909
033-0567-0000,33,567,0,2,2 -5 Family,27 De Soto St,02909
084-0123-0000,84,123,0,2,2 -5 Family,66 Rankin Ave,02908
091-0583-0000,91,583,0,14,CI Vacant Land,1066 Hope St,02906
047-0071-0000,47,71,0,14,CI Vacant Land,181 Sherburne St,02905
024-0641-0002,24,641,2,71,Charitable,160 Broad St Unit 2,02901
054-0217-0000,54,217,0,5,Commercial I,134 Thurbers Ave,02905
036-0102-0000,36,102,0,2,2 -5 Family,20 Wood St,02907
081-0005-0000,81,5,0,72,Church,38 Elmhurst Ave,02908
066-0108-0000,66,108,0,13,Residential Vacant Land,440 Valley St,02901
126-0007-002J,126,7,002J,24,Commercial Condo,364 Reservoir Ave,02905
